date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,45985,1400000,1400000,1400000,1,1
2020-03-30,10000043,45996,89268.33,86000,109000,12,6
2020-03-30,10000043,45998,2474000,2400000,2495000,143,29
2020-03-30,10000043,45999,4180000,4180000,4180000,155,44
2020-03-30,10000043,46000,25367692.31,23230000,27900000,13,11
2020-03-30,10000043,46001,164692.86,160900,214200,28,9
2020-03-30,10000043,46002,1144817.37,900500,1199998.96,55,20
2020-03-30,10000043,46003,12092850.01,9418000,17890000,20,10
2020-03-30,10000043,46004,235347.63,190100.06,249500,42,8
2020-03-30,10000043,46005,2079585.75,1365105.77,2499000,94,28
2020-03-30,10000043,46006,23771666.67,23770000,23790000,6,6
2020-03-30,10000043,46152,10000000,10000000,10000000,4,3
2020-03-30,10000043,46153,15000000,15000000,15000000,5,5
2020-03-30,10000043,46154,21599990,20000000,24799970,6,5
2020-03-30,10000043,46155,27500000,27500000,27500000,2,2
2020-03-30,10000043,46156,30000000,30000000,30000000,1,1
2020-03-30,10000043,46166,10000000,10000000,10000000,1,1
2020-03-30,10000043,46167,10000000,10000000,10000000,3,2
2020-03-30,10000043,46168,10000000,10000000,10000000,3,2
